GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo,TaskController,52,6,4,0,14,3,7,1,5,1
demo,com.example.demo,JwtService,87,6,4,0,22,2,10,1,8,1
demo,com.example.demo,TaskServiceImpl,56,6,0,0,12,3,6,1,6,1
demo,com.example.demo,Task,54,3,0,0,19,2,10,1,10,1
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo,VolunteerController,56,9,4,0,15,4,7,1,5,1
demo,com.example.demo,AuthenticationController,12,6,0,0,2,3,2,1,2,1
demo,com.example.demo,Role,0,15,0,0,0,3,0,1,0,1
demo,com.example.demo,JwtResponse,13,0,0,0,6,0,3,0,3,0
demo,com.example.demo,WebConfig,0,41,0,0,0,6,0,2,0,2
demo,com.example.demo,AuthenticationService,79,15,0,0,14,6,3,1,3,1
demo,com.example.demo,SocketService,43,3,0,0,9,1,4,1,4,1
demo,com.example.demo,SocketConfig,0,18,0,0,0,5,0,2,0,2
demo,com.example.demo,UserDetailsImp,15,6,0,0,2,3,2,1,2,1
demo,com.example.demo,JwtAuthenticationFilter,63,9,10,0,16,4,6,1,1,1
demo,com.example.demo,SecurityConfig,0,66,0,0,0,16,0,6,0,6
demo,com.example.demo,AuthenticationResponse,23,0,0,0,10,0,5,0,5,0
demo,com.example.demo,LoginRequest,26,0,0,0,12,0,6,0,6,0
demo,com.example.demo,VolunteerServiceImpl,72,6,0,0,16,3,6,1,6,1
demo,com.example.demo,Volunteer,131,8,0,0,44,3,22,1,22,1
demo,com.example.demo,User,53,3,0,0,21,2,14,1,14,1
